,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
0,Auara,"Auara es la primera empresa social española certificada por Social Enterprise Mark. Con el objetivo de revolucionar la cooperación al desarrollo, esta marca de agua mineral invierte el 100% de los dividendos que genera vendiendo sus productos en desarrollar proyectos de acceso a agua potable en países en vía de desarrollo. El proyecto nació con una clara y proactiva vocación social con la que invita a todo el mundo que la consume a convertir un acto cotidiano como beber agua, en un acto extraordinario. Desde su lanzamiento en septiembre de 2016, ya ha dado acceso a agua a más de 57.400 personas y ha generado 72,4 millones de litros de agua potable, habiendo recibido numerosos premios y reconocimientos.",,,,,,1.0,2015.0,"Comunidad de Madrid, España",,https://auara.org
1,Corify Care,"Corify Carees una startup médica centrada en las arritmias cardíacas surgida del Hospital Gregorio Marañón. Corify ha desarrollado Acorys®, un dispositivo médico capaz de mostrarles a los clínicos la actividad en cada punto del corazón. A partir de un único latido, Acorys® llega a todas las regiones cardiacas de forma simultánea, sin necesidad de cirugías ni de lentos mapeos punto a punto. El objetivo de Corify es cambiar la forma en que se trata a los pacientes con arritmias cardíacas, las cuales afectan a más de 30 millones de pacientes en todo el mundo, duplicando la probabilidad de morir.",,B2B,Biotech,,5.7,1.0,2019.0,"Comunidad de Madrid, España",,https://corify.es
2,Fossa Systems,"En FOSSA Systems desarrollan plataformas picosatelitales, cuya masa es inferior a un 1kg y que siguen el estándar de diseño PocketQube (5x5x5cm). Con ellos, brindan comunicaciones IoT dedicadas y seguras a empresas y redes de defensa, con activos en ubicaciones remotas donde no hay conectividad móvil. FOSSA Systems tiene una herencia de vuelo desde 2019 con misiones exitosas como FOSSASAT-1, el primer picosatélite construido y puesto en órbita de España, y el tercero del mundo.",,,Aeroespacial,,,0.0,2020.0,"Comunidad de Madrid, España",,http://fossa.systems/
3,Harbest Market,"HarBest Market es la primera plataforma que permite a los restaurantes comprar directamente a pequeños agricultores, con nombre y apellidos, de toda España, y recibirlo todo en un mismo reparto. De esta forma los restaurantes pueden tener su propia cartera de agricultores, en una misma plataforma digital. Permitiéndose así, precios más justos en origen, defensa de la marca personal de los agricultores y producto de mayor calidad y frescura en los restaurantes.ODS (2,8 y 12).2. Poner fin al hambre, conseguir la seguridad alimentaria y una mejor nutrición, y promover la agricultura sostenible.8. Fomentar el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo, y el trabajo decente para todos.12.Garantizar las pautas de consumo y de producción sostenibles.",,,Agrotech,,1.25,3.0,2020.0,"Comunidad de Madrid, España",,http://www.harbestmarket.com/
4,Hamelyn,"Hamelyn nace como un re-commerce online de libros de segunda mano. Los usuarios escanean los códigos de barra de sus libros en la web/app, reciben un precio fijo por ellos y venden. Los recogen gratis y se hace el pago de forma instantánea. Quieren ser capaces de aplicar este modelo a muchas otras categorías de producto y revolucionar la experiencia de vender todo aquello que no necesitas y creando a su vez una tienda online de segunda mano líder donde los usuarios puedan comprar todo tipo de productos.",,,Marketplace,,1.0,3.0,2020.0,"Comunidad de Madrid, España",,https://hamelyn.com/home   
5,Kuvu,Kuvu tiene la misión de mejorar la calidad de vida de las personas mayores previniendo y reduciendo la soledad no deseada. Su negocio es una plataforma de alojamiento compartido intergeneracional con un especial foco en la población mayor. Ofrecen seguridad y garantías a las personas mayores que viven solas para que puedan alquilar sus habitaciones vacías a personas jóvenes adecuadas que buscan alojamiento en su ciudad.,,,Proptech,,,0.0,2019.0,"España, País Vasco",,https://kuvu.eu
6,Arkadia Space,"Arkadia Space es una startup de base tecnológica cuyo objetivo es el desarrollo y comercialización de motores y sistemas propulsivos de alto rendimiento para satélites y vehículos espaciales, basados en propelentes verdes y con tecnología sostenible y de gran escalabilidad. La compañía fue fundada en diciembre de 2020 en la Comunidad Valenciana por cuatro ingenieros con más de 35 años de experiencia acumulada, y tras más de 4 años trabajando juntos en el sector de la propulsión espacial.",,,Aeroespacial,,,1.0,2020.0,"Comunidad Valenciana, España",,http://arkadiaspace.com
7,Getlife,"Getlife, la nueva startup de seguros de vida que ha llegadopararenovar el sector. El seguro con cobertura de fallecimiento e invalidez flexible, 100% online y que se puede contratar en tan solo 5 minutos. Getlife es una insurtechcon la tecnología más avanzada, que quiere hacer llegar a todas las personas un seguro de vida con las mejores condiciones. Sin letra pequeña, sin permanencia y que podrás pagar mes a mes sin ningún tipo de recargo. Su objetivo es que todo el mundo encuentre el seguro de vida que mejor se adapte a sus necesidadesparapoder conseguir la tranquilidad que buscan.",,,Insurtech,,7.0,0.0,2021.0,"Comunidad de Madrid, España",,https://getlife.es/
8,Sheetgo,"Sheetgo es una plataforma basada en la nube (SaaS) que permite a cualquier persona crear, automatizar, compartir y controlar sus flujos de trabajo directamente desde las hojas de cálculo. Fue fundada en 2016 por Yannick Rault van der Vaart y Jonatan Gomes Da Silva, y más tarde se unieron al proyecto Chad Pittman y Rafael Vidal. Las hojas de cálculo son el sistema heredado más grande del mundo con 1 billón de usuarios y ahora que está en línea, la cantidad de hojas de cálculo se duplica cada año.",,,,,3.28,1.0,2016.0,"Comunidad Valenciana, España",,https://www.sheetgo.com/
9,Kibus,"Kibus es un servicio online de compra de alimentos disponibles en los mercados de abastos de las ciudades. En la web kibus.online el cliente puede elegir los productos que quiere recibir y marcar el día y la hora para que nosotros los entreguemos. Las claves de Kibus son que no cobramos gastos de envío, ni hay pedido mínimo y mantenemos los mismos precios que tienen estos productos en el mercado, por lo que al cliente no le sale más caro hacer la compra a través de nuestra web.",,,Foodtech,,,0.0,2018.0,"España, Galicia",,https://kibus.online/
